Date,Open,High,Low,Close,Adj Close,Volume
2024-01-31,9.650000,9.825000,9.650000,9.825000,9.825000,15600
2024-02-01,9.500000,9.500000,9.395000,9.420000,9.420000,8600
2024-02-02,9.665000,9.700000,9.635000,9.670000,9.670000,10000
2024-02-05,9.491000,9.519000,9.465000,9.519000,9.519000,6800
2024-02-06,9.560000,9.580000,9.519000,9.570000,9.570000,11400
2024-02-07,9.504000,9.520000,9.495000,9.520000,9.520000,5600
2024-02-08,9.750000,9.750000,9.475000,9.520000,9.520000,11200
2024-02-09,9.420000,9.547000,9.420000,9.547000,9.547000,6000
2024-02-12,9.410000,9.775000,9.410000,9.663000,9.663000,8000
2024-02-13,9.470000,9.487000,9.366000,9.400000,9.400000,11200
2024-02-14,9.700000,9.775000,9.625000,9.775000,9.775000,9800
2024-02-15,9.906000,9.995000,9.906000,9.995000,9.995000,10600
2024-02-16,9.974000,10.000000,9.930000,10.000000,10.000000,5400
2024-02-20,9.885000,10.000000,9.760000,9.760000,9.760000,8600
2024-02-21,9.910000,9.991500,9.910000,9.930000,9.930000,22800
2024-02-22,9.905000,9.960000,9.897500,9.960000,9.960000,6600
2024-02-23,9.977000,9.977000,9.940000,9.956000,9.956000,5800
2024-02-26,9.894000,9.894000,9.875000,9.880000,9.880000,4600
2024-02-27,9.940000,9.995000,9.940000,9.990000,9.990000,6200
2024-02-28,9.925000,9.930000,9.909000,9.910000,9.910000,4000
2024-02-29,10.000000,10.125000,10.000000,10.049000,10.049000,15000
2024-03-01,10.118000,10.118000,10.008000,10.085000,10.085000,12800
2024-03-04,10.050000,10.050000,9.875000,9.875000,9.875000,4600
2024-03-05,9.922500,9.922500,9.862000,9.870000,9.870000,7800
2024-03-06,10.505000,10.505000,10.410000,10.480000,10.480000,6200
2024-03-07,10.500000,10.500000,10.365000,10.405000,10.405000,6400
2024-03-08,10.005000,10.318000,10.005000,10.135000,10.135000,6800
2024-03-11,10.312000,10.390000,10.312000,10.330000,10.330000,5600
2024-03-12,10.500000,10.500000,10.275000,10.301000,10.301000,3400
2024-03-13,10.150000,10.150000,9.980000,9.980000,9.980000,24600
2024-03-14,10.142500,10.266000,10.005000,10.005000,10.005000,7000
2024-03-15,9.998000,9.998000,9.932500,9.990000,9.990000,6400
2024-03-18,10.187000,10.418000,10.187000,10.341000,10.341000,4800
2024-03-19,10.404000,10.420000,10.326000,10.420000,10.420000,15600
2024-03-20,10.725000,10.725000,10.300000,10.330000,10.330000,5600
2024-03-21,10.000000,10.240000,10.000000,10.230000,10.230000,3000
2024-03-22,10.400000,10.575000,10.400000,10.515000,10.515000,5200
2024-03-25,9.962500,10.040000,9.960000,9.970000,9.970000,16800
2024-03-26,9.626000,9.925000,9.626000,9.882500,9.882500,4800
2024-03-27,9.764000,10.010000,9.714000,9.755000,9.755000,7800
2024-03-28,8.965000,9.473000,8.755000,9.025000,9.025000,6800
2024-04-01,8.945000,9.725000,8.945000,9.725000,9.725000,10600
2024-04-02,9.327500,9.380000,9.150000,9.250000,9.250000,24800
2024-04-03,9.044000,9.220000,9.044000,9.095000,9.095000,3400
2024-04-04,8.840000,9.020000,8.750000,8.750000,8.750000,20000
2024-04-05,8.990000,9.000000,8.750000,8.999000,8.999000,9600
2024-04-08,9.260000,9.260000,8.940000,9.130000,9.130000,43900
2024-04-09,9.100000,9.100000,8.760000,8.760000,8.760000,2500
2024-04-10,8.800000,8.800000,8.520000,8.520000,8.520000,5700
2024-04-11,8.695000,8.695000,8.556000,8.626000,8.626000,21900
2024-04-12,8.553000,8.600000,8.520000,8.534000,8.534000,6700
2024-04-15,8.600000,8.600000,8.420000,8.426000,8.426000,12300
2024-04-16,8.340000,8.500000,8.304000,8.498000,8.498000,15300
2024-04-17,8.400000,8.515000,8.318000,8.318000,8.318000,7200
2024-04-18,8.500000,8.500000,8.332000,8.340000,8.340000,6700
2024-04-19,8.250000,8.250000,7.988000,7.995000,7.995000,4700
2024-04-22,8.055000,8.110000,8.050000,8.085000,8.085000,21700
2024-04-23,7.980000,8.040000,7.950000,8.010000,8.010000,26100
2024-04-24,8.450000,8.450000,8.158000,8.190000,8.190000,18600
2024-04-25,8.590000,8.590000,8.140000,8.375000,8.375000,37000
2024-04-26,8.600000,8.600000,8.280000,8.290000,8.290000,19300
2024-04-29,8.310000,8.420000,8.310000,8.370000,8.370000,37700
